node,degree,degree_centrality,closeness_centrality,betweenness_centrality,clustering_coefficient
30d.org,4078,0.29105702662193994,0.5849206826215493,1.7731054113464346e-06,0.9324602673666784
316room.com,435,0.03104703447291414,0.5076494033483139,5.317775891818611e-08,0.9455267757826156
333thats33s.cc,7011,0.5003925487117266,0.6666191155841136,3.316863944256595e-05,0.7375958830539578
338338.xyz,465,0.0331882092641496,0.5081836741774592,7.135244745909617e-08,0.9575361512791991
366.koyomi.online,6578,0.46948825922489473,0.6531859847914866,7.450028270790675e-05,0.6838899279221614
386898.xyz,377,0.02690742987652559,0.5065658988517848,1.15847163720608e-07,0.9003611941983182
39383844.xyz,216,0.015416458496895297,0.5036326119248989,1.1983487494560856e-09,0.9891042204995694
39sounds.net,1102,0.07865248733138248,0.5202675512524574,4.318854256269321e-07,0.8859344169876915
3dp.chat,10104,0.7211476696881022,0.7818101246139182,0.00012307446471198066,0.565986001351558
3rdwall.net,4502,0.32131896367140106,0.5954669647031761,2.720746944387436e-06,0.9172046371846287
3v.is,8022,0.5725501391763614,0.7003601651475386,4.66812869969697e-05,0.6911286631007965
3zi.ru,7996,0.5706944543572907,0.6994855458294564,5.158563212307877e-05,0.6791438245701963
41020.social,7447,0.5315109556776818,0.680781814476148,3.586063905314283e-05,0.7347668532804168
433.world,10080,0.7194347298551139,0.7808074686048784,0.00016093212476900423,0.5612543840170588
4458644.xyz,115,0.008207836699735922,0.5016659313567114,5.592844549092522e-10,0.9784897025171625
45sukey.net,4187,0.2988366283634287,0.5876206941653331,2.184930265579733e-05,0.7576212221958372
4bear.com,10935,0.7804582114053245,0.8198478420351223,0.00019398260109556055,0.5110513268746619
4d2.social,8128,0.5801156234387267,0.704057576648393,5.374230775573988e-05,0.6761031990671709
4four.org,7493,0.5347940903575762,0.6823077104692242,4.0841357658066355e-05,0.7038907073190005
500plus.slavistapl.eu.org,7532,0.5375776175861823,0.6835400342653465,3.429898036995704e-05,0.7198776153190399
503junk.house,10065,0.7183641424594961,0.7801549469028853,0.00013266199070424597,0.5622696905724871
520713.xyz,109,0.00777960174148883,0.501683904484089,7.232125781768008e-10,0.9702684335711859
5280.city,9251,0.660266933123974,0.7462695130014863,8.724141767853118e-05,0.6161129110950752
56k.dile-up.nl,7128,0.5087431303975448,0.670288695704365,4.299007801820531e-05,0.7029696441496669
60228.dev,8972,0.6403540075654843,0.7352972664335166,7.741802917555287e-05,0.62966882488991
6502.social,3283,0.23431589465420027,0.5661209275100015,1.0075639128733876e-06,0.9416206658384383
6510.nu,7129,0.5088145028905859,0.6703528719402504,2.1990440567559886e-05,0.7677112059797804
666.glitchwit.ch,9044,0.6454928270644494,0.738087768393416,7.413174982217924e-05,0.6326667766462295
6t.vc,6880,0.4910427521233317,0.6624876350456493,2.1825206213948558e-05,0.7710152570850956
7144.party,3104,0.2215402183998287,0.5620760704033995,5.663139888894875e-06,0.8226028768302043
73-110.pl,5492,0.39197773178217116,0.6216648675675867,8.667795401289831e-06,0.8505292312402086
764.hu,337,0.02405253015487831,0.5058522195636113,6.112961292669845e-10,0.994118270453582
770ml.me,4365,0.31154093212475914,0.592068036952344,6.100388321353475e-06,0.8660254734404054
7a4.pp.ua,4457,0.31810720148454785,0.5943801155380062,4.3838241155671874e-06,0.8825595184626769
