domain,software,users,signup,uptime_alltime
906873854.xyz,mastodon,7,True,
91268476.xyz,mastodon,2,False,
9600bps.com,mastodon,1,False,99.95
9dd39ea1-2b18-4484-a29b-701efe543226.tvt.moe,mastodon,1,False,
9ineverse.com,misskey,3491,False,99.9
9kb.me,mastodon,784,True,99.73
CyberGladius.Social,mastodon,2,False,99.55
Equestria.Social,mastodon,3112,True,99.83
HoFra.rocks,mastodon,62,True,99.88
PCGamer.social,mastodon,350,True,99.84
QuarteredCircle.net,mastodon,18,False,98.78
WUE.social,mastodon,139,True,99.88
a.barac.at,mastodon,1,False,
a.bloodyno.se,akkoma,7,False,99.95
a.bnuuy.fyi,mastodon,3,True,
a.brody.zone,mastodon,1,False,
a.dissonant.dev,akkoma,2,False,99.63
a.eti.tf,mastodon,5,False,
a.farook.org,akkoma,3,False,99.94
a.gawlinski.com,mastodon,1,False,99.86
a.geek.nz,mastodon,1,False,
a.gup.pe,guppe groups,0,False,98.28
a.jerl.zone,mastodon,11,False,
a.junimo.party,mastodon,12,True,99.9
a.kretschmann.social,funkwhale,1,False,97.31
a.lufimianet.jp,akkoma,7,False,99.68
a.n0id.space,mastodon,2,False,
a.nti.social,pleroma,217,True,97.78
a.pancaketown.net,mastodon,3,False,
a.rathersafe.social,mastodon,6,False,
a.reviewed.world,mastodon,9,True,100.0
a.sapphic.online,mastodon,2,False,
a.sukazyo.cc,misskey,22,False,99.3
a.tela.moe,akkoma,6,False,99.55
a11ty.xyz,hollo,1,False,98.94
a11y.info,mastodon,83,False,
a11y.report,wordpress,2,False,99.89
a11y.social,mastodon,89,True,99.02
a17k.social,mastodon,4,False,
a19n.seeds-9.com,mastodon,6,False,
a2.social,mastodon,1,False,100.0
a2c.misskey.casa,misskey,36,True,99.46
a2mi.social,mastodon,450,True,99.9
aana.site,mastodon,204,False,99.93
aaron.blog,ghost,1,False,100.0
aaron.place,wordpress,1,False,98.85
aaronparecki.com,p3k,1,False,99.91
ababil.au,mastodon,11,True,99.95
abando.social,mastodon,2,False,99.98
abc.mika.xyz,mastodon,1,False,
abdl.link,mastodon,17236,True,
abend.social,mastodon,8,False,99.88
aberrantwinds.bond,hometown,21,True,99.4
abide.social,mastodon,1,True,
abolish.social,mastodon,1,False,
abolitionmedia.noblogs.org,wordpress,1,True,99.55
about-the-author.online,mastodon,3,False,99.89
about.flipboard.com,wordpress,1,False,98.48
about.iftas.org,wordpress,1,False,85.96
about.krivosik.cz,mastodon,0,True,
about.to.be.nota.live,mastodon,3,False,99.72
abouthere.uk,mastodon,2,False,
abpe.org,mastodon,1,False,99.69
abraham.social,mastodon,2,False,
abraham.su,mastodon,1,False,99.77
abraum.social,mastodon,17,False,99.98
abshoff.social,mastodon,1,False,
absolutelyhar.am,mastodon,40,True,99.98
absurd.social,mastodon,1,False,
abtorytka.fd-sns.com,misskey,4,False,99.84
abypom.work,mastodon,10,False,99.87
abyss.cafe,misskey,55,True,99.83
abyss.fun,mastodon,475,True,99.95
abyssal.rip,misskey,4,False,99.96
abyssalblue.party,misskey,14,False,99.92
abyssdomain.expert,mastodon,7,False,99.98
academiccloud.social,mastodon,729,False,99.98
acarson.wtf,mastodon,2,False,
acastle.name,mastodon,0,True,
acc4e.com,mastodon,13,True,
accessnow.social,mastodon,5,True,
accidentallyoldschool.com,writefreely,1,False,99.95
accioly.social,mastodon,2,False,99.94
aceade.net,wordpress,1,True,98.37
acg.mn,mastodon,2613,True,
acg.ngo,mastodon,1,True,
acgn.ca,mastodon,1,True,
achi.masto.host,mastodon,4,False,99.92
achichaiskey.xsns.jp,misskey,4,False,100.0
acid.tokedgamers.com,mastodon,1,False,
acillba-lux.com,mastodon,69,True,
ack.nerdfight.online,mastodon,12,False,
aclevo.com,wordpress,5,False,98.21
acqrs.co.uk,lemmy,1,False,99.93
acra.network,mastodon,1,False,
acrion.social,mastodon,2,True,97.87
act1.hagi.moe,misskey,3,False,99.84
acties.todon.nl,gancio,9,False,99.95
action.rebelfederation.com,wordpress,18,True,100.0
activity.andros.dev,mastodon,2,False,
activity.implicit.computer,mastodon,2,False,
activity.kammeyer.me,mastodon,1,False,
activitypub.academy,mastodon,12,True,99.85
activitypub.awakari.com,awakari,0,True,97.32
activitypub.blankpad.net,mastodon,1,False,
activitypub.blog,wordpress,5,False,98.36
activitypub.cryptography.dog,mastodon,0,False,
