domain,software,users,signup,uptime_alltime
icosahedron.website,mastodon,895,False,99.93
icy.arcticfluff.eu,mastodon,5,False,
icy.blitzw.in,mastodon,8,False,
icy.gb0.dev,iceshrimpnet,1,False,97.69
icy.maxy.top,iceshrimpnet,20,False,99.82
icy.uwu.bar,mastodon,2,False,
icy.wyvern.rip,iceshrimpnet,4,False,99.72
id.cc,mastodon,1728,False,
id10t.social,mastodon,1,True,
idar.us,mastodon,3,False,
iddqd.social,mastodon,408,True,
idea.ghost.io,ghost,1,False,100.0
idea.oksocial.net,mastodon,20,True,
idealists.su,akkoma,21,True,99.76
ideas.mymath.rocks,bovine,36,False,99.86
idf.social,mastodon,147,False,99.59
idic.social,mastodon,19,True,
idiomdrottning.org,akkoma,6,True,99.6
idiots.chat,mastodon,6,False,
idlethumbs.social,mastodon,492,True,
idtech.space,pleroma,74,True,99.71
idunno.lol,mastodon,2,True,
idw-online.social,mastodon,13,False,
ie.fedimeteo.com,snac,40,False,100.0
iee.engineer,mastodon,1,False,
ieji.de,mastodon,15092,True,
ien.okin-jp.net,friendica,0,True,98.84
ifma-film.de,wordpress,3,False,99.93
ifrit.gaia.ff14-mstdn.xyz,mastodon,161,True,99.01
ifthenel.se,wordpress,5,False,99.86
ifthisthenwhat.uk,mastodon,4,False,
ifwo.eu,mastodon,45,True,
ig.teledyn.com,mastodon,2,False,
ignifi.social,mastodon,7,True,99.65
igorgoldkind.com,wordpress,1,True,98.11
iguana.masto.host,mastodon,4,False,99.96
iguanapalace.com,mastodon,1,False,
ihan.outo.la,mastodon,6,False,
ihatebeinga.live,mastodon,70,False,
ihateeverybloatedweb.site,mastodon,1,True,
iis.iceshrimp.net,iceshrimpnet,1,False,99.88
ijaron.life,mastodon,1,False,
ijug.social,mastodon,43,False,99.95
ika.queloud.net,mastodon,3128,True,
ikamesuki.hostdon.ne.jp,mastodon,2,False,99.91
ikebukuro.city,mastodon,153,True,99.91
ikhlasulamal.vivaldi.net,wordpress,1,False,99.95
iko.pink,mastodon,8,False,
iksky.ikasoba.net,misskey,25,False,98.22
ikyou.xsns.jp,misskey,5,False,100.0
ilbery.family,mastodon,2,False,
ilja.space,akkoma,15,False,97.85
ill.moe,pleroma,4,True,99.98
illegal.lewdum.download,iceshrimp,7,False,99.21
illegible.club,hometown,12,False,99.95
illo.social,mastodon,81,False,
illyaking.com,mastodon,1,False,
ilodolly.fedicity.net,mastodon,2,False,
ilot.social,mastodon,1,False,
ilotroyo.ilustrelina.li,mastodon,1,False,
ilustrelina.li,mastodon,1,False,
iluv.dev,mastodon,1,True,
ilys.fm,mastodon,13,False,
im-a.dog,mastodon,0,True,
im-in.space,mastodon,1081,True,99.91
im.alstadheim.no,mastodon,4,True,
im.ckyl.in,sharkey,7,True,99.8
im.mibo.live,mastodon,4,True,99.9
im.onlysorta.social,mastodon,2,False,
im.patpro.net,mastodon,0,False,
im.yjin.dev,microblogpub,1,False,99.94
imagazine.pl,wordpress,70,False,99.49
image.ketmia.net,wordpress,2,False,99.91
image.linc.systems,mastodon,7,False,
image.medienzentrum.rocks,mastodon,9,False,
images.pixelpost.uk,mastodon,6,False,
images.swits.org,mastodon,1,False,
imaginair.es,mastodon,342,False,
imago.collectiftoutseul.fr,mastodon,1,True,
imanageproducts.com,wordpress,2,False,99.02
imastodon.blue,mastodon,393,True,99.93
imastodon.net,mastodon,5701,True,99.89
imastodon.org,mastodon,467,True,99.87
imbalance.no,wordpress,1,False,99.99
imc.sh,mastodon,1,False,98.42
imd.social,mastodon,82,True,
imekki.vivaldi.net,wordpress,1,False,99.96
img.dfdx.io,mastodon,1,False,
imker.social,mastodon,8,True,99.71
immerautonom.noblogs.org,wordpress,5,True,99.6
immers.space,immers space,376,True,99.94
immers01.co-viewing.pq-projects.net,immers space,4,True,100.0
immj.com,wordpress,8,False,99.75
impa.cc,mastodon,1,False,
impaisley.vivaldi.net,wordpress,1,False,99.94
impeccable.social,mastodon,2,False,
imperfettaellisse.it,wordpress,2,False,99.49
impermanente.es,writefreely,1,False,100.0
implausiblyaverage.online,mastodon,3,True,99.97
imposible.blog,mastodon,1,False,
impreg.net,mastodon,38,False,
improvesomething.today,ghost,1,False,99.78
improvizon.fr,mobilizon,21,True,99.98
imsilly.fyi,mastodon,2025,False,
imsim.dev,misskey,8,False,99.91
in.coffin.rip,misskey,5,False,99.97
in.the.radiokids.zone,mastodon,8,True,
in.unover.se,mastodon,1,True,99.99
inaccessible.ac,mastodon,22,True,99.91
inane.chat,mastodon,29,True,
inari.click,mastodon,5,False,99.87
inari.opencocon.org,mastodon,111,False,
incestlovers.moe,mastodon,10,False,
incise.app,incise,8,False,99.41
incompletefutures.com,wordpress,1,False,98.91
indahood.de,mastodon,1,False,
indec.net.in,wordpress,10622,False,99.55
independent-media.co.uk,mastodon,140,True,99.01
indexof.co.uk,mastodon,1,False,
indg.club,mastodon,137,True,92.43
indi.ca,ghost,1,False,99.85
india.goonj.xyz,mastodon,315,True,99.89
indieapps.space,mastodon,464,True,99.51
indieauthors.social,mastodon,655,True,99.87
indiecreator.social,mastodon,2,True,
indiecreatorhub.com,ghost,1,False,99.59
indiehackers.social,mastodon,164,False,99.9
indiepocalypse.social,mastodon,163,False,
indieweb.andyrush.net,wordpress,2,False,98.24
indieweb.isbrill.com,wordpress,1,True,99.88
indieweb.social,mastodon,11814,True,
indiewohnzimmer.de,mastodon,2,False,
indigenousgulf.online,mastodon,13,True,
inductive.space,mastodon,21,True,
indulgent.art,sharkey,10,False,97.51
industryplant.club,akkoma,3,True,99.25
indymotion.fr,peertube,237,True,97.73
ineditas.noblogs.org,wordpress,1,True,98.35
infinitenoveltranslations.net,wordpress,1,True,99.2
infinity.cafe,hubzilla,2,False,99.74
infisec8.vemsv.com,mastodon,2,True,
infisector8.co.kr,mastodon,38,True,
info.brwinow.gmina.pl,mastodon,2,False,
info.macadmins.news,wordpress,1,False,98.51
info.mobilite-mobiliteit.brussels,mastodon,4,False,
info.performing-arts.ch,mastodon,2,False,
info.prou.be,lemmy,96,True,98.18
infoates.cat,gancio,8,True,100.0
infoexperiencia.com,wordpress,1,True,97.96
informatica.unau.edu.ar,wordpress,1,False,96.93
information-architects.de,wordpress,1,False,99.73
information.garden,mastodon,5,False,
infosec.exchange,mastodon,75559,True,99.63
infosec.place,akkoma,129,True,99.77
infosec.press,writefreely,257,True,99.08
infosec.pub,lemmy,4594,True,99.64
infosec.space,mastodon,131,True,99.89
infosec.town,iceshrimp,655,False,99.94
infothema.net,peertube,2,False,96.66
infoupar.com,wordpress,1,False,98.38
infrastruct.social,mastodon,2,False,
ingen.work,misskey,14,False,99.79
ingenthron.social,mastodon,2,True,
ingetica.com,wordpress,1,False,93.01
inherently.digital,mastodon,3,False,99.91
init3.us,mastodon,1,True,
ink.99rst.org,writefreely,2,False,99.73
inlakech.site,hubzilla,3,True,99.95
inlovewithlinux.com,writefreely,1,False,100.0
inmusky.net,misskey,15,True,91.09
inne.city,mastodon,92,True,
inner.hollow.capital,mastodon,3,False,
innesrichens.co.uk,wordpress,2,False,98.68
innocent.yukimochi.io,mastodon,12,False,
innoq.social,mastodon,41,False,99.98
inokashiraskey.jp,misskey,27,True,98.25
inphotos.org,wordpress,1,False,96.17
inrustwetrust.social,mastodon,10,False,
insanitymatt0.vivaldi.net,wordpress,1,False,99.94
inscribe.social,mastodon,6,True,
insecure.umbreon.online,mastodon,1,False,
insecurity.radio.fm,wordpress,3,False,99.43
insights.vibencode.com,ghost,1,False,100.0
insoumis.social,mastodon,103,True,98.35
insta.landofkittens.social,pixelfed,90,False,99.62
insta.michaelgram.com,mastodon,2,False,
insta.razve.net,mastodon,1,False,
insta.sakuragawa.moe,mastodon,2,False,
insta.slow-computing.com,mastodon,1,False,
instacab.be,mastodon,1,False,
instaflop.uk,mastodon,4,True,
instafops.net,mastodon,204,False,
instance.digital,hometown,6,True,99.97
instancia.org,mastodon,11,False,99.96
instant-blue.pw,misskey,4,False,99.95
instapix.org,mastodon,208,True,
instaschnack.de,mastodon,1,True,
intahnet.co.uk,mastodon,3,True,95.37
integrity.hostdon.ne.jp,mastodon,65,True,99.41
intelligentia.tv,peertube,105,True,99.98
intentional.network,mastodon,3,False,
inter.collabfc.com,mastodon,4,True,
interconnected.systems,mastodon,3,False,99.9
interestingtimes.club,mastodon,3,True,99.81
interfunt.com,wordpress,1,False,99.97
interlace.space,mastodon,7,False,
interledger.social,mastodon,20,True,99.97
internalnote.com,ghost,1,False,99.88
internaluse.net,mastodon,35,False,
internaut.club,mastodon,8,True,
internet.exchangepoint.tech,ghost,1,False,99.85
intersex.social,mastodon,23,True,
interskri.be,writefreely,7,False,94.85
inthebeliefofbetter.social,mastodon,2,True,
inthenews.social,mastodon,7,True,99.94
introvert.social,akkoma,7,False,99.27
intrusion.software,mastodon,1,False,
intuitivefuture.com,mastodon,7,False,99.93
inuh.net,mastodon,21,False,
inversion.tupambae.com,mastodon,0,False,
investorenarchitektur.de,wordpress,1,False,99.68
invillage-outvillage.com,misskey,985,False,99.94
io.bennyp.org,mastodon,1,False,95.17
io.mwl.io,mastodon,2,False,
io.waxandleather.com,mastodon,4,False,99.87
ioc.exchange,mastodon,27000,True,
ioioioio.io,mastodon,1,False,
iosdev.space,mastodon,1275,True,
iowagravelseries.com,wordpress,6,False,98.05
ip.omorashi.cc,meisskey,33,False,99.89
ipasodon.hopto.org,mastodon,3,True,
ippandon.hopto.org,mastodon,17,True,
ipv6.camp,mastodon,18,True,98.82
ipv6.party,mastodon,3,False,
ipv6.social,mastodon,72,True,97.94
iqhina.org,misskey,74,True,99.14
iquit.nativosoft.com,mastodon,1,False,
iracogan.com,writefreely,1,False,100.0
iris.aeris.synology.me,mastodon,8,False,99.92
irlqt.me,misskey,8,False,96.53
ironwynch.com,wordpress,2,False,99.96
iroot.su,mastodon,0,True,
irotoridori.xsns.jp,misskey,3,False,100.0
irrelephant.co,mastodon,9,True,
irrelevant.me.uk,mastodon,1,False,
irrsinn.life,mastodon,1,False,99.95
irrsinn.net,wordpress,2,False,93.47
irrsinn.video,peertube,3,False,97.53
is-a.cat,mastodon,18,True,99.95
is-quite.gay,sharkey,6,False,99.61
is.0w0.kr,iceshrimp,16,False,96.54
is.a.horrific.dev,mastodon,2,False,
is.a.peculiar.florist,mastodon,3,False,
is.a.qute.dog,mastodon,1,False,99.98
is.aaronbsmith.com,mastodon,4,False,
is.acute.cat,mastodon,4,False,
is.badat.dev,akkoma,19,False,98.44
is.burntout.org,mastodon,4,False,
is.corite.dev,iceshrimp,2,False,99.88
is.hardlywork.ing,lemmy,9,True,99.78
is.horse,firefish,7,False,99.0
is.lewd.pm,mastodon,1,True,
is.needing.coffee,mastodon,1,True,
is.nota.live,mastodon,1726,True,
is.notfire.cc,mastodon,1,False,
is.phite.ro,iceshrimp,26,False,97.92
is.probablyabot.lol,mastodon,0,False,
is.tooschoolfor.cool,mastodon,5,False,
is.trinkey.com,mastodon,11,False,
is.verweg.com,mastodon,1,False,
isaaac.krashboyz.org,plume,3,False,98.36
isazi.net,wordpress,1,False,99.32
isbrill.com,wordpress,1,True,99.77
ischool.social,mastodon,21,True,
iscute.moe,mastodon,30,False,
isfeeling.social,mastodon,5,False,
ish.charcolle.art,iceshrimp,4,False,99.9
isin.space,mastodon,1,False,100.0
islandinthenet.com,mastodon,2,False,
isle.hadal.nexus,mastodon,5,False,
islegram.tpcsystem.com,mastodon,5,False,
isme.fyi,hollo,1,False,98.94
isnet.phite.ro,iceshrimpnet,5,False,99.01
isnot.online,mastodon,2,False,
isntvery.social,mastodon,7,False,99.96
isoc.no,wordpress,1,False,99.98
isocial.cloud,mastodon,19,False,
isopod.zone,mastodon,6,True,
isosceles.monster,mastodon,3,False,98.76
israelmemories.com,mastodon,1,False,
ist-ur.org,mastodon,16,True,
ist.social,mastodon,7,False,92.73
istanza.ch,mastodon,2,False,99.92
istheguy.com,mastodon,11,False,
istoleyour.pw,mastodon,2,False,
it-hilfe-leipzig.org,wordpress,2,False,99.57
it.21stcentury.day,misskey,43,True,99.95
it.fedimeteo.com,snac,115,False,100.0
itabashi.0j0.jp,mastodon,129,True,98.95
italkedtostrangers.com,mastodon,4,True,99.82
itchy.5p.lt,wordpress,3,False,99.14
itcountrythai.com,friendica,0,False,96.65
itdev.social,mastodon,31,True,
items.minimals.org,mastodon,0,False,
itm.masto.host,mastodon,3,True,
itools.jp,mastodon,2,False,99.67
itryhrd.com,mastodon,4,True,
its.bencarneiro.com,mastodon,2,True,
its.ryjelsum.me,mastodon,3,False,
its.waah.day,mastodon,1,False,89.23
itsdaves.site,wordpress,1,False,99.93
itservice.guru,wordpress,3,True,92.02
itsgloria.vivaldi.net,wordpress,2,False,100.0
itsmecv.com,wordpress,2,False,100.0
itsmf.online,mastodon,8,True,
itsmy.social,mastodon,1,True,
iu.social,mastodon,124,True,99.97
ivansalloum.com,ghost,1,False,99.47
iviv.hu,diaspora,3589,True,99.85
iwatedon.net,mastodon,276,True,
iway.social,mastodon,5,True,99.93
iwshkey.com,mastodon,151,True,
iwtm-2025.xsns.jp,misskey,3,False,100.0
ix.md,mastodon,2,True,
ix.uy,mastodon,1,False,
ixchat.x4s.it,mastodon,1,True,
iyasaretai.pw,mastodon,43,False,
iyke.owncast.neofrakture.club,mastodon,1,False,
iys.io,mastodon,22,True,99.92
izonelayer.click,mastodon,1,False,
iztasocial.site,mastodon,3140,True,99.94
j-ch.net,mastodon,3,False,99.93
j12t.social,mastodon,3,False,
jaba.red,mastodon,1,False,
jabber.net.nz,mastodon,3,True,99.83
jabberwocky.moe,mastodon,30,False,
jabbex.ru,mastodon,1,True,
jackdeighton.co.uk,mastodon,2,False,
jackmac87.com,wordpress,1,False,98.84
jacksonhomestead.me,mastodon,3,False,
jacobhaddon.com,wordpress,2,False,99.26
jacquesfortierart.com,wordpress,2,False,99.59
jade.moe,mastodon,10,True,
jadero.com,mastodon,3,False,
jadi.net,wordpress,1,False,95.31
jaehanley.social,mastodon,4,False,99.73
jaesharp.social,mastodon,2,False,
jagster.eksis.one,mastodon,1,False,
jakespurlock.com,wordpress,2,False,99.43
jako.social,mastodon,28,True,99.95
jakubkorab.net,wordpress,3,False,99.91
jam.gay,mastodon,1,False,95.96
jam.xwx.moe,mastodon,17,True,
jamesekstrom.com,writefreely,1,False,99.15
jamesgallagher.photos,mastodon,2,False,
jamesgallagher.social,mastodon,1,False,97.07
jamesgiroux.ca,wordpress,3,False,98.78
jamit.social,mastodon,2,True,99.98
janejane.net,sharkey,1,False,99.84
janerationx.rocks,mastodon,1,False,
janetgunter.net,writefreely,1,False,99.9
janeznaju.su,mastodon,0,False,
janinjapan.ch,ghost,1,False,99.63
janiteppo.fi,wordpress,2,False,100.0
janlauer.de,wordpress,1,False,100.0
janogdon.net,mastodon,352,True,99.94
jantzen.no,wordpress,3,False,96.51
japanesemoviesme.com,wordpress,2,False,98.03
japanwi.de,mastodon,3,False,100.0
japix.schuerz.at,pixelfed,3,False,99.28
jaq.blessing.exchange,wordpress,2,False,99.87
jar.informatik.uni-oldenburg.de,mastodon,6,False,98.88
jaran.flaath.no,writefreely,1,False,90.72
jardinminiature.fedicity.net,mastodon,1,False,
jarkkaa.fi,mobilizon,55,False,99.85
jarunik.ch,mastodon,1,True,
jarvislin.com,wordpress,1,False,100.0
jase.social,socialhome,2,False,99.93
jasette.facil.services,mastodon,759,True,
jasonames.com,mastodon,5,True,99.65
jasonclarke.org,wordpress,2,False,97.45
jasondavis.net,mastodon,1,False,94.06
jasondavis.org,mastodon,1,False,96.91
jasongraphix.com,wordpress,2,False,99.89
jasonrobinson.me,socialhome,4,False,99.74
jasonrouet.com,wordpress,1,False,100.0
jauntygoat.net,mastodon,33,True,
java.duke.social,mastodon,17,False,
javabubble.social,mastodon,3,False,99.99
javierleiva.com,mastodon,1,False,
javisst.space,mastodon,6,True,99.41
jawa.gay,iceshrimp,2,False,99.68
jawjawjaw.com,wordpress,1,False,99.12
jawns.club,mastodon,981,False,
jawnuffin.xyz,mastodon,2,False,100.0
jawsome.nevy.xyz,sharkey,6,True,98.55
jaxbeach.social,mastodon,17,True,99.87
jaxroam.vivaldi.net,wordpress,1,False,99.87
jaym.casa,mastodon,1,False,100.0
jaysjourney.blog,writefreely,1,False,99.78
jaytorres.net,wordpress,1,False,99.01
jaywll.co,mastodon,1,False,
jazzpages.de,wordpress,12,False,99.54
jazztodon.com,mastodon,297,True,99.98
jb.md,mastodon,2,False,96.23
jbellone.blog,writefreely,1,False,99.98
jbgs.jp,misskey,20,True,98.69
jbo-is-daylon.ghost.io,ghost,1,False,100.0
jbo.social,mastodon,34,True,99.99
jbof.eu,mastodon,2,False,99.84
jcm.social,mastodon,2,True,
jcusnxj.net,mastodon,1,False,
jcx.nu,mastodon,2,False,99.94
jdracademy.fr,mastodon,4,False,
jeanschoonbroodt.vivaldi.net,wordpress,1,False,99.96
jeffburg.social,mastodon,2,False,99.61
jeffrey.fillian.com,wordpress,2,False,99.5
jeffreyfreeman.me,fedipage,1,False,99.12
jeffreyharlan.com,mastodon,1222,False,
jellyfish.quest,misskey,13,False,100.0
jellyfishtxt.hostdon.ne.jp,mastodon,2,False,99.9
jellystyle.social,mastodon,2,False,99.98
jena.social,mastodon,2,True,100.0
jendia-gammon.ghost.io,ghost,1,False,100.0
jeng.co,wordpress,1,False,99.68
jenkins.cc,mastodon,2,False,
jenkins.social,mastodon,2,False,99.93
jenrweb.com,mastodon,1,False,
jeppe.bundsgaard.net,wordpress,1,False,100.0
jeremy.org,mastodon,5,False,
jeremybelcher.co,wordpress,1,False,99.53
jeremymay.me,mastodon,1,False,100.0
jerma.party,mastodon,6,False,
jerometevans.com,wordpress,2,False,99.04
jerryjdavis.com,mastodon,1,False,
jerryleetv.itvend.eu,mastodon,1,False,
jerseycounterinfo.noblogs.org,wordpress,2,True,99.58
jesperbalslev.dk,wordpress,1,False,98.63
jesusgomez.me,mastodon,3,False,
jetstream.watch,peertube,2,False,98.99
jforo.com,mastodon,14,False,97.5
jgaskins.blog,ktistec,1,False,99.59
jhms.whippy.kr,mastodon,25,True,
jiaojiao.org,mastodon,61,True,98.7
jillr.social,mastodon,1,False,99.76
jillsreads.com,wordpress,2,False,99.93
jim.casablog.com,wordpress,2,False,99.45
jimkubicek.com,wordpress,1,False,99.81
jimmitchell.social,mastodon,1,False,100.0
jinwei.me,wordpress,1,False,99.91
jinxd.tech,mastodon,6,True,
jiong.us,mastodon,17,True,99.82
jir.moe,mastodon,36,True,
jit.social,mastodon,53,True,98.62
jittr.click,mastodon,1,False,
jixifox.me,wordpress,1,False,99.35
jjv.sh,mastodon,1,False,
jklol.my.to,mastodon,11,True,98.45
jkpg.rocks,mastodon,2,False,99.94
jl2o-ma.jloo.xyz,mastodon,5,True,
jlpichelski.co.uk,wordpress,1,False,100.0
jluo.io,mastodon,1,False,
jmb.mx,wordpress,1,False,99.54
jmilo.ir,wordpress,1,False,98.67
jmm.kr,mastodon,44,True,
jnxj.net,mastodon,1,False,
joachymstal.cz,wordpress,1,False,99.75
joanathx.com,wordpress,1,False,98.73
joat.me,writefreely,1,False,99.83
jocat.isbrill.com,wordpress,1,True,99.65
jochen-tetzlaff.online,writefreely,1,False,99.88
joebelknapwall.com,wordpress,1,False,99.96
joegrigg.com,ghost,1,False,99.71
johannes-starke.de,wordpress,1,False,99.6
john-norris.net,wordpress,1,False,99.51
john.onolan.org,ghost,1,False,99.97
johnbredesen.com,wordpress,1,False,99.01
johnhenry.us,mastodon,28,True,
johnmastodon.eu,mastodon,8,True,
johnnywebber.com,mastodon,2,False,
johnsenblog.com,ghost,1,False,100.0
johnwlittle.com,ghost,1,False,99.81
johnydeep.net,peertube,2,False,98.85
join.ahabitual.dev,friendica,0,False,97.03
join.mttv.it,mastodon,3,True,99.56
join.piefed.social,wordpress,2,False,99.87
joinfriendica.de,friendica,81,True,99.1
joinmirage.online,mastodon,41,True,
jointnet.live,mastodon,1,False,
joka.noblogs.org,wordpress,1,True,98.86
joki.de,wordpress,1,False,98.99
jolly-piefed.jomandoa.net,piefed,3,False,99.62
jollyville.net,pleroma,5,True,96.42
jomarm.com,microblogpub,1,False,99.91
jon-chadwick.com,wordpress,1,False,99.55
jon.vivaldi.net,wordpress,2,False,99.91
jonaharagon.neat.pub,wordpress,0,False,99.14
jonathanbardo.com,wordpress,1,False,99.53
jonathancarter.org,wordpress,1,False,96.69
jonathangardner.photography,ghost,1,False,99.61
jonathanmiller.live,wordpress,2,True,99.74
jondron.ca,wordpress,2,False,99.57
jondylan.fusil.uk,mastodon,2,False,
jonleibowitz.social,mastodon,1,False,
jonmasters.social,mastodon,3,False,
jonpro.de,mastodon,1,False,
jontka.fi,mastodon,1,False,
jonw.mayhem.academy,writefreely,1,False,99.96
joomla.social,mastodon,68,True,
joopleberry.garden,mastodon,1,False,99.33
joost.net,mastodon,1,False,99.95
joovideo.cfd,peertube,7,True,100.0
joranwitte.com,mastodon,1,False,
jordangillman.blog,mastodon,2,False,
jorijn.dev,mastodon,2,False,
jornalismo.social,mastodon,5,True,
jorts.horse,mastodon,1251,True,99.87
josa.social,mastodon,16,True,
josemurilo.com,wordpress,1,False,99.85
josemurilo.peixe.co,mastodon,2,False,
josephguhlin.com,wordpress,1,False,98.89
joseramongrela.es,ghost,1,False,100.0
josh.tel,mastodon,2,False,
joshbutts.social,mastodon,1,False,99.93
joshhansen.tech,wordpress,1,False,96.04
joshuastrobl.social,mastodon,1,False,99.76
journa.host,mastodon,2994,False,99.85
journal.dinobansigan.com,writefreely,1,False,99.63
journal.enjoylunacoffee.com,ghost,1,False,100.0
journal.infinitenegativeutility.com,writefreely,1,False,98.18
journal.jennfrank.net,writefreely,1,False,99.95
journal.librarianofalexandria.com,writefreely,1,False,99.14
journal.paoloamoroso.com,writefreely,1,False,98.78
journal.phoenixharbor.net,mastodon,1,False,
journal.rajeshtaylor.com,ghost,1,False,100.0
journal.volpegolf.com,ghost,1,False,99.68
journalctl.uk,wordpress,2,False,100.0
journals.bytetower.social,mastodon,4,True,
journodon.com,mastodon,83,True,99.99
joyandmatts.com,wordpress,1,False,99.9
jp.fedimeteo.com,snac,51,False,100.0
jp.mmth2.com,ghost,1,False,99.61
jpeg.gay,mastodon,1,False,
jpicture.net,wordpress,2,False,98.73
jpmaxman.com,mastodon,1,False,99.96
jpmstdn.com,mastodon,9,False,
jpreardon.com,wordpress,1,False,98.89
jralonso.es,mastodon,5,False,
jrbailey.tools,mastodon,2,True,
jrollans.com,snac,9,False,95.68
jrpg.town,mastodon,12,True,99.99
jrpgjunkie.com,wordpress,4,False,99.94
js3.pt,mastodon,3,False,
jsa.nx.tc,mastodon,1,False,
jsemholkacz.todon.de,mastodon,551,False,99.95
jsirish.social,wordpress,1,False,99.41
jsr.fyi,ghost,1,False,100.0
jtrem.me,mastodon,1,False,99.72
jubi.life,mastodon,12,False,99.92
jucoin.ghost.io,ghost,1,False,100.0
jugendforum-nrw.de,wordpress,13,False,98.81
jugendtrier.de,mastodon,28,False,99.95
jugopiksel.top,mastodon,20,True,
juhl-johansen.eu,wordpress,2,False,95.2
juicega1400.one,cherrypick,3,False,100.0
juick.com,mastodon,0,False,
juju.house,mastodon,8,False,
jukkaniiranen.com,wordpress,3,False,99.22
juliaclement.com,wordpress,2,False,98.85
julianjulian.moe,mastodon,3,False,
julien.falgas.fr,wordpress,1,False,98.56
juliette-cortese.fr,wordpress,1,False,99.83
juliewebgirl.com,wordpress,5,False,95.93
junebug.masto.host,mastodon,8,False,99.91
juni.tube,mastodon,1,False,
junipurge.de,mastodon,6,False,
junkhub.org,mastodon,2,False,
junkyardrockstories.com,wordpress,1,False,100.0
jura.social,mastodon,1,True,
jurgen.gaeremyn.be,wordpress,1,False,99.92
just-breathe.ghost.io,ghost,1,False,100.0
just-one-more.club,writefreely,1,False,99.95
justabit.social,mastodon,3,True,
justbennet.com,wordpress,1,False,98.78
justbros.xyz,mastodon,5,True,
justcrazy.de,wordpress,2,False,99.96
justfollow.me.uk,mastodon,8,True,99.63
justice.tech,mastodon,1,False,
justin.earth,wordpress,1,False,99.06
justinferriman.com,writefreely,1,False,99.92
justinpot.com,mastodon,2,False,
justinsimoni.com,wordpress,1,False,99.06
justinyost.social,mastodon,1,False,
justjake.masto.host,mastodon,3,True,
justjosh.social,mastodon,1,False,100.0
justme.masto.host,mastodon,1,False,99.94
justsave.space,mastodon,68,True,
justsayinnow.com,wordpress,2,False,99.28
justsome.photos,pixelfed,46,False,99.82
justuskings.com,wordpress,3,False,99.94
justweb.dev,mastodon,1,True,
juventus.collabfc.com,mastodon,4,True,
jvalleroy.fbx.one,mastodon,0,False,
jvm.social,mastodon,362,True,
jws.news,mastodon,1,False,
jxmsocial.xyz,mastodon,2,False,99.86
jyrkikuoppala.vivaldi.net,wordpress,1,False,99.9
k-on.kr,mastodon,1,False,
k-pop.22x22.ru,peertube,81,True,99.51
k.b1nk.net,cherrypick,5,False,99.83
k.fe.derate.me,mbin,50,True,97.29
k.iim.gay,mastodon,3,False,
k.lapy.link,cherrypick,2862,False,99.67
k.matthias.org,ktistec,1,False,99.34
k.my-sky.blue,kmyblue,11,False,99.97
k.yumeka.xyz,mastodon,63,True,
k2pk.com,mastodon,5,True,
k4zka.online,mastodon,1,True,
k8s-helm-dev.intensifi.es,mastodon,1,False,
k8s.social,mastodon,276,True,
k9unz.me,wordpress,2,False,100.0
kaartinen.photos,pixelfed,3,False,99.98
kaartinen.social,mastodon,4,True,
kachel.social,mastodon,2,False,99.83
kadae.vivaldi.net,wordpress,1,False,99.95
kadono.moe,mastodon,1,False,
kadras.live,peertube,15,False,99.42
kafeneio.social,mastodon,417,True,99.58
kaffeeringe.de,wordpress,1,False,99.99
kafka.icu,misskey,12,False,89.12
kagamirrorrr.com,misskey,6,False,100.0
kagu-tsuchi.com,mastodon,0,False,
kagura.ch,misskey,82,True,99.75
kainehm.com,mastodon,1,False,
kaiserslautern.events,mobilizon,19,True,99.8
kaji.social,mastodon,14,False,97.8
kalaclista.com,mastodon,1,False,
kalakukko.social,mastodon,11,True,99.9
kalender.mutterstadt.social,mobilizon,1,False,100.0
kalender.qr-infos.de,gancio,1,True,99.6
kaliex.co,wordpress,4,False,98.66
kalmar.social,mastodon,13,True,
kamel.social,mastodon,10,False,98.46
kameuo.turtton.net,iceshrimp,5,False,89.7
kamiyacho.net,mastodon,7,False,
kamoland.vivaldi.net,wordpress,1,False,99.95
kampftoast.de,mastodon,6,False,
kamu.social,mastodon,87,False,99.91
kancolle.social,mastodon,353,True,
kandankoara.xsns.jp,misskey,3,False,99.06
kanikouenclub.xsns.jp,misskey,4,False,100.0
kanina.be,mastodon,14,False,
kanitamadaisukiclub.xsns.jp,misskey,60,True,100.0
kaniyam.com,wordpress,24,False,99.41
kannitverstan.eu,mastodon,2,False,99.93
kanoa.de,mastodon,1467,True,99.54
kanokonokonocco.xsns.jp,mastodon,1,False,100.0
kaoism.xyz,misskey,4,False,99.93
kaosmage.vivaldi.net,wordpress,2,False,99.94
kapteinis.lv,mastodon,4,False,99.96
kaputtendorf.de,mastodon,4,True,99.91
kaputtgart.social,mastodon,0,False,
kapuverse.net,mastodon,3,False,99.98
karakun-peertube-codecamp.k8s.karakun.com,peertube,4,False,100.0
karakun.social,mastodon,2,False,99.99
karlender.net,wordpress,1,False,98.32
karlsoderstrom.social,mastodon,1,False,
karlsruhe-social.de,mastodon,64,True,
karlsruhe.social,mastodon,57,True,99.87
karp.lol,mastodon,2,False,
kasakoso.lol,misskey,7,False,99.95
kaspars.net,wordpress,1,False,99.97
kassel.social,mastodon,12,True,
kasukabe-leon.me,mastodon,2,False,99.99
kasumaru.vivaldi.net,wordpress,1,False,99.86
